user_name,trial_number,timestamp,dragonfly_image,dragonfly_scale,dragonfly_center_x,dragonfly_center_y,dragonfly_width,dragonfly_height,grain_size,contrast,complexity_alpha,edge_density,background_seed,click_x,click_y,click_accuracy_pixels,click_accuracy_normalized,reaction_time_seconds,found,timed_out
Jacob,1,2025-11-03T21:47:53.791837,Screenshot 2025-11-03 214555.png,1.1552391801754431,646,287,49,21,45.391475992104695,0.5218914575245043,1.4584254439020639,auto,582965,648.5721649484536,288.159793814433,2.8215517386804194,0.08061576396229769,2.714651584625244,True,False
Jacob,2,2025-11-03T21:47:57.660076,Screenshot 2025-11-03 214555.png,0.8922770121974958,574,110,38,16,13.996270167140437,0.5823161373387968,1.2443964395815956,auto,203872,568.5721649484536,109.19072164948454,5.487834253638531,0.20325312050513078,2.093843460083008,True,False
Jacob,3,2025-11-03T21:48:00.499583,Screenshot 2025-11-03 214605.png,0.8575502974031062,307,542,36,13,22.595149007408462,0.7050873897848784,1.3138687921068763,auto,304098,307.9536082474227,542.180412371134,0.970524246585749,0.039613234554520364,1.0530660152435303,True,False
Jacob,4,2025-11-03T21:48:03.452707,Screenshot 2025-11-03 214605.png,0.9236365187159512,204,199,39,14,59.34433765412153,0.6998101711144483,1.350676743658798,auto,608526,199.91237113402062,198.26288659793806,4.153558223196976,0.15673804615837644,1.1678264141082764,True,False
Jacob,5,2025-11-03T21:48:06.096507,Screenshot 2025-11-03 214605.png,1.4776174648897484,591,394,63,23,55.778055234272685,0.7785870876451406,1.0835261472702833,auto,994669,591.6649484536083,387.95360824742266,6.08284552422559,0.14146152381919977,0.8516037464141846,True,False
Jacob,6,2025-11-03T21:48:08.810909,Screenshot 2025-11-03 214555.png,1.2132057525215518,419,539,52,23,10.095832337268764,0.6536995222690558,0.6110393639847411,auto,84593,424.24226804123714,539.7061855670104,5.289619293600443,0.1410565144960118,0.8969607353210449,True,False
Jacob,7,2025-11-03T21:48:11.569331,Screenshot 2025-11-03 214534.png,1.3016429324235497,579,465,59,24,53.454053599622796,0.5732283003380393,1.2186295185940628,high,316911,582.5927835051547,467.95360824742266,4.651010104714316,0.11207253264371846,0.9820868968963623,True,False
Jacob,8,2025-11-03T21:48:14.055655,Screenshot 2025-11-03 214534.png,1.2151233843683182,540,384,55,23,24.960240562565637,0.3970736538525112,0.8477044819184572,medium,87668,543.0051546391753,386.3041237113402,3.7868113872382194,0.09709772787790306,0.7205910682678223,True,False
Jacob,9,2025-11-03T21:48:16.857806,Screenshot 2025-11-03 214605.png,0.9486795488443438,636,520,40,15,45.95982102948859,0.39326617040537815,1.202595248199176,low,698288,636.2010309278351,524.0360824742268,4.041085890290706,0.14694857782875295,1.0312092304229736,True,False
Jacob,10,2025-11-03T21:48:24.120802,Screenshot 2025-11-03 214555.png,1.0743824672285112,654,334,46,20,29.995145630168487,0.39374449558223446,0.5642048267934755,low,549006,641.9742268041238,334.3453608247422,12.030731276939157,0.36456761445270175,5.486196041107178,True,False
Jacob,11,2025-11-03T21:48:26.867136,Screenshot 2025-11-03 214605.png,1.3819159689385865,499,570,59,22,26.784325528309513,0.4747654135386658,0.88417556323267,high,968632,506.7164948453609,575.9948453608247,9.771512861306716,0.2412719225014004,0.9330549240112305,True,False
Jacob,12,2025-11-03T21:48:35.057923,Screenshot 2025-11-03 214605.png,0.923511620267214,265,603,39,14,18.841033591273046,0.6203725070202776,1.2458305047027491,low,824053,260.1185567010309,600.7371134020618,5.3804409146628895,0.20303550621369396,6.44269061088562,True,False
Jacob,13,2025-11-03T21:48:38.275258,Screenshot 2025-11-03 214605.png,1.056908649347342,253,515,45,16,38.24723107726003,0.7669968915879437,0.5718221055896582,auto,776713,251.87113402061857,513.3144329896907,2.0286632410649057,0.06651354888737396,1.4296848773956299,True,False
Jacob,14,2025-11-03T21:48:44.078098,Screenshot 2025-11-03 214555.png,0.9311244338056321,264,376,40,17,50.9851142790114,0.6212121905618511,1.0920576250607725,medium,722659,260.1185567010309,369.80927835051546,7.306889668286273,0.25638209362407977,4.008636951446533,True,False
Jacob,15,2025-11-03T21:48:46.846629,Screenshot 2025-11-03 214555.png,1.4435866565340725,356,430,62,27,41.56864798639958,0.385328733234269,1.0510063193847885,auto,458892,352.4896907216495,430.0154639175258,3.5103433396776142,0.07888411999275538,0.9077637195587158,True,False
Jacob,16,2025-11-03T21:48:49.404737,Screenshot 2025-11-03 214555.png,1.2051016763703317,459,382,51,22,11.654065773832848,0.21746948579201017,1.1914546177533982,auto,55096,458.05670103092785,382.180412371134,0.9603965684605366,0.02631223475234347,0.7814455032348633,True,False
Jacob,17,2025-11-03T21:48:53.802865,Screenshot 2025-11-03 214534.png,0.9029770735382457,513,308,41,17,15.668942461585779,0.4279673293596134,1.4967451914637713,low,274914,514.9639175257732,305.47938144329896,3.195385728894856,0.11018571478947779,2.6337037086486816,True,False
Jacob,18,2025-11-03T21:48:56.975471,Screenshot 2025-11-03 214605.png,0.9803206641332022,647,207,42,15,18.347452574938835,0.7942540611287126,1.4941582924612715,medium,878558,654.3453608247423,209.80927835051546,7.864246340008313,0.2759384680704671,1.4017064571380615,True,False
Jacob,19,2025-11-03T21:49:00.447631,Screenshot 2025-11-03 214605.png,0.9983312954193713,669,263,42,15,17.33664462640916,0.4801783349973718,1.4499770020049847,auto,415169,671.6649484536083,265.0670103092783,3.372607578573607,0.11833710802012656,1.7165794372558594,True,False
Jacob,20,2025-11-03T21:49:04.502323,Screenshot 2025-11-03 214534.png,1.089930839338598,147,122,50,20,31.55691047534298,0.4749906080174944,0.5500111445539085,low,956509,148.77835051546393,119.08762886597935,3.4123944933327266,0.09749698552379218,2.1928088665008545,True,False
Jacob,21,2025-11-03T21:49:07.448425,Screenshot 2025-11-03 214605.png,1.1302186495569106,300,373,48,18,40.28812530212726,0.4358204237679201,1.2937199563381807,auto,633752,300.53092783505156,372.28350515463916,0.8917674749962513,0.02702325681806822,1.163217306137085,True,False
Jacob,22,2025-11-03T21:49:10.435771,Screenshot 2025-11-03 214555.png,1.2118911735636126,580,395,52,23,16.07742005885477,0.5840486400630334,0.8060186908919846,auto,385095,578.4690721649484,393.7268041237113,1.991172462529097,0.053097932334109255,1.2303552627563477,True,False
Jacob,23,2025-11-03T21:49:13.056053,Screenshot 2025-11-03 214555.png,1.4859430737474053,665,209,63,28,11.560094349613545,0.2844799021508603,1.3430790946355597,high,338376,661.7680412371135,207.3350515463917,3.63560322342408,0.07990336754778198,0.8380146026611328,True,False
Jacob,24,2025-11-03T21:49:15.928930,Screenshot 2025-11-03 214605.png,1.1354972707695228,169,617,48,18,55.14028406378397,0.39918438734411366,1.003725149607317,auto,505997,160.32474226804123,611.4587628865979,10.29394994464491,0.3119378771104518,1.111079454421997,True,False
Jacob,25,2025-11-03T21:49:19.003906,Screenshot 2025-11-03 214555.png,1.3524536831773264,199,653,58,25,36.710194422019924,0.582177571996561,0.955679461204675,low,462965,190.01546391752578,658.4690721649484,10.518205120774889,0.25345072580180456,1.2304823398590088,True,False
Jacob,26,2025-11-03T21:49:21.604923,Screenshot 2025-11-03 214534.png,1.3921637888015723,260,462,64,26,43.3713552185769,0.5970178477224296,1.1781223794099536,high,467887,256.819587628866,463.00515463917526,3.335469786869295,0.07412155081931766,0.8205647468566895,True,False
Jacob,27,2025-11-03T21:49:28.887458,Screenshot 2025-11-03 214555.png,0.859565189900367,186,234,36,16,41.33311423644351,0.25501352874349076,1.1747004281529048,auto,425230,184.2422680412371,233.7268041237113,1.7788360311387814,0.06841677042841467,1.0902903079986572,True,False
Jacob,28,2025-11-03T21:49:32.652882,Screenshot 2025-11-03 214605.png,1.2604734380027656,449,290,54,20,10.586628406374034,0.21712082013142583,1.1227551466577845,medium,247482,449.8092783505155,288.159793814433,2.010296061283562,0.054332325980636816,1.992711067199707,True,False
Jacob,29,2025-11-03T21:49:35.781841,Screenshot 2025-11-03 214605.png,1.410182056041077,656,285,60,22,23.079488910963,0.25804848572074784,1.3193126632216514,low,473388,654.3453608247423,282.3865979381443,3.0931700789334324,0.07544317265691299,1.3560314178466797,True,False
Jacob,30,2025-11-03T21:49:39.653017,Screenshot 2025-11-03 214605.png,1.4952296833233183,472,202,64,23,12.142665587434255,0.6948131364503143,0.7016830434053591,auto,709429,468.77835051546396,196.6134020618556,6.276500836328545,0.14428737554778265,2.009427785873413,True,False
Jacob,31,2025-11-03T21:49:47.105430,Screenshot 2025-11-03 214534.png,1.2556831865653257,372,121,57,23,19.510715621956017,0.34099415839428326,0.6652251083382484,low,104674,373.9329896907217,118.26288659793806,3.3508564457737333,0.08377141114434333,5.682189702987671,True,False
Jacob,32,2025-11-03T21:49:51.294097,Screenshot 2025-11-03 214555.png,1.0888725681942497,335,505,46,20,53.7474863852336,0.5085312588935547,0.9323655648161714,medium,463277,331.04639175257734,507.5412371134021,4.6998834284076265,0.14242070995174627,2.3890633583068848,True,False
Jacob,33,2025-11-03T21:49:53.916288,Screenshot 2025-11-03 214605.png,1.10748866952609,460,317,47,17,42.11519174864627,0.21206619946125657,0.7201099706098067,auto,635725,552.077319587629,270.0154639175257,103.37204367394351,3.2303763648107346,0.8308286666870117,False,False
Jacob,34,2025-11-03T21:50:00.154532,Screenshot 2025-11-03 214555.png,0.9054383498672838,133,682,38,17,19.120212777691595,0.502869858559686,0.5384832237439765,low,15070,133.93298969072166,679.9123711340206,2.2866272203975737,0.08315008074172996,4.450273275375366,True,False
Jacob,35,2025-11-03T21:50:07.100249,Screenshot 2025-11-03 214534.png,1.4274255925120922,269,622,65,27,59.550635666277884,0.43503250289863843,0.5631584543031031,low,752855,273.3144329896907,613.9329896907217,9.148277835337872,0.1988756051160407,5.088700771331787,True,False
Jacob,36,2025-11-03T21:50:10.787526,Screenshot 2025-11-03 214534.png,0.953120563700979,170,635,43,18,42.32937493194022,0.7962655584192411,0.584698359087052,auto,550496,167.74742268041237,633.7268041237113,2.5874953758642993,0.08483591396276391,1.8967478275299072,True,False
Jacob,37,2025-11-03T21:50:14.156612,Screenshot 2025-11-03 214534.png,1.2927676072781655,187,562,59,24,37.478188670783936,0.7861824385818879,0.6632674825829898,low,458767,185.06701030927834,566.9226804123712,5.288594481218894,0.127436011595636,1.586266279220581,True,False
Jacob,38,2025-11-03T21:50:17.015964,Screenshot 2025-11-03 214605.png,1.0653455848047242,618,184,45,17,41.59782056837483,0.2224203544821108,1.0441847785544613,auto,242205,621.3556701030928,182.59278350515456,3.6387882741588937,0.1173802669083514,1.060910701751709,True,False
Jacob,39,2025-11-03T21:50:20.263165,Screenshot 2025-11-03 214555.png,1.4003654082216757,389,168,60,26,55.454675185750595,0.6279965944846987,1.0782643251470678,low,586779,479.5,402.79896907216494,251.63625708023767,5.852005978610179,1.4286000728607178,False,False
Jacob,40,2025-11-03T21:50:36.334492,Screenshot 2025-11-03 214534.png,1.4229455881336237,565,500,65,27,18.59672608542304,0.6622114065915308,0.5519120849533556,high,480337,561.9742268041238,502.5927835051546,3.9846994538465466,0.0866239011705771,14.22544813156128,True,False
Jacob,41,2025-11-03T21:50:40.983952,Screenshot 2025-11-03 214555.png,0.839422972027331,248,411,36,15,56.09746140554261,0.5628613613851774,0.6159265843774719,medium,262385,,,,,,False,True
Jacob,42,2025-11-03T21:50:43.781720,Screenshot 2025-11-03 214555.png,0.9885966110281497,469,486,42,18,32.18239922920735,0.5997938838728756,1.3965423388856348,low,989103,,,,,,False,True
